name,partOfSpeech,definition,etymology,tags,synonym,notes,
caveat,noun,"1 a: a warning enjoining one from certain acts or practices b: an explanation to prevent misinterpretation c: a modifying or cautionary detail to be considered when evaluating, interpreting, or doing something2: a legal warning to a judicial officer to suspend a proceeding until the opposition has a hearing",,,,,
cavort,,,,,,,
chancre,noun,: a primary sore or ulcer at the site of entry of a pathogen (as in tularemia); especially : the initial lesion of syphilis,,(gross),,,
chasm,noun,"  1  : a deep cleft in the surface of a planet (as the earth) : gorge   2  : a marked division, separation, or difference  ",,,,,
chaste,adjective,"1: innocent of unlawful sexual intercourse2: celibate3: pure in thought and act : modest4 a: severely simple in design or execution : austere <chaste classicism> b: clean, spotless",,,,,
cheesy donker,noun,: a drunken fool,,(my slang),,,
cherry-pick,verb, intransitive verb: to select the best or most desirabletransitive verb: to select as being the best or most desirable,,,,,
chignon,noun,: a knot of hair that is worn at the back of the head and especially at the nape of the neck,,,,,
chimera,noun,"1 acapitalized : a fire-breathing she-monster in Greek mythology having a lion's head, a goat's body, and a serpent's tail b: an imaginary monster compounded of incongruous parts2: an illusion or fabrication of the mind; especially : an unrealizable dream <a fancy, a chimera in my brain, troubles me in my prayer — John Donne>3: an individual, organ, or part consisting of tissues of diverse genetic constitution",,,,,
chin-wag,noun,": conversation, chat",,(slang),,,
churl,noun,"1: ceorl2: a medieval peasant3: rustic, countryman4 a: a rude ill-bred person b: a stingy morose person",,,,,
circumspect,adjective,: careful to consider all circumstances and possible consequences : prudent <diplomacy required a circumspect response>,,,,,
clandestine,adjective,": marked by, held in, or conducted with secrecy : surreptitious <a clandestine love affair>",,,,,
cleave,,,,,,,
clerisy,noun, : intelligentsia  ,,,,,
cloister,noun,1 a: a monastic establishment b: an area within a monastery or convent to which the religious are normally restricted c: monastic life d: a place or state of seclusion2: a covered passage on the side of a court usually having one side walled and the other an open arcade or colonnade,,,,,
clout,noun,"2: a blow especially with the hand; also : a hard hit in baseball3: a white cloth on a stake or frame used as a target in archery4: pull, influence <political clout>",,,,,
co-opt,verb,"1 a: to choose or elect as a member b: to appoint as a colleague or assistant  2a: to take into a group (as a faction, movement, or culture) : absorb, assimilate <the students are co–opted by a system they serve even in their struggle against it — A. C. Danto> b: take over, appropriate <a style co–opted by advertisers>",,,,,
coax,verb,"1obsolete : fondle, pet2: to influence or gently urge by caressing or flattering : wheedle <coaxed him into going>3: to draw, gain, or persuade by means of gentle urging or flattery <unable to coax an answer out of him>4: to manipulate with great perseverance and usually with considerable effort toward a desired state or activity <coax a fire to burn>",,,,,
cock-a-hoop,adjective,  1  : triumphantly boastful : exulting   2  : awry  ,,,,,
coda,noun,"1 a: a concluding musical section that is formally distinct from the main structure b: a concluding part of a literary or dramatic work2: something that serves to round out, conclude, or summarize and usually has its own interest",,(music),,,
coerce,verb,1  : to restrain or dominate by force <religion in the past has tried to coerce the irreligious — W. R. Inge>   2  : to compel to an act or choice <was coerced into agreeing>   3  : to achieve by force or threat <coerce compliance>,,,,,
coffer,noun,"1: chest; especially : strongbox2: treasury, funds —usually used in plural3: a recessed panel in a vault, ceiling, or soffit",,,,,
cogent,adjective,"1: having power to compel or constrain <cogent forces>2 a: appealing forcibly to the mind or reason : convincing <cogent evidence> b: pertinent, relevant <a cogent analysis>",,,,,
cogitate,verb, transitive verb   : to ponder or meditate on usually intently   intransitive verb   : to meditate deeply or intently <cogitating on her career plans>,,,,,
cognizant,adjective,: knowledgeable of something especially through personal experience; also : mindful,,,,,
cognoscente,noun, : a person who has expert knowledge in a subject : connoisseur  ,[Italian],,,,
coif,,,,,,,
coitus interruptus,noun,: coitus in which the penis is withdrawn prior to ejaculation to prevent the deposit of sperm into the vagina,,(salacious),,,
collagen,noun,: any of a group of fibrous proteins that occur in vertebrates as the chief constituent of connective tissue fibrils and in bones and yield gelatin and glue upon boiling with water,,(gross),,,
colloquial,adjective,1: of or relating to conversation : conversational2 a: used in or characteristic of familiar and informal conversation; also : unacceptably informal b: using conversational style,,(literary),,,
comeuppance,noun, : a deserved rebuke or penalty : deserts  ,,,,,
commend,,,,,,,
commendable,,,,,,,
commensurate,adjective,"1  : equal in measure or extent : coextensive <lived a life commensurate with the early years of the republic>   2  : corresponding in size, extent, amount, or degree : proportionate <was given a job commensurate with her abilities>",,,,,
commiserate,verb,  intransitive verb   : to feel or express sympathy : condole <commiserates with them on their loss>   transitive verb   : to feel or express sorrow or compassion for  ,,,,,
commodify,verb, : to turn (as an intrinsic value or a work of art) into a commodity  ,,,,,
commodity,noun,"1: an economic good: as a: a product of agriculture or mining b: an article of commerce especially when delivered for shipment <commodities futures> c: a mass-produced unspecialized product <commodity chemicals> <commodity memory chips> 2 a: something useful or valued <that valuable commodity patience>; also : thing, entity b: convenience, advantage3obsolete : quantity, lot4: a good or service whose wide availability typically leads to smaller profit margins and diminishes the importance of factors (as brand name) other than price5: one that is subject to ready exchange or exploitation within a market <stars as individuals and as commodities of the film industry — Film Quarterly>",,,,,
compleat,adjective,": having all necessary or desired elements or skills : complete; also : classic, quintessential",,,,,
comport,verb,"intransitive verb: to be fitting : accord <actions that comport with policy>transitive verb: behave; especially : to behave in a manner conformable to what is right, proper, or expected <comported himself well in the crisis>",,,,,
comportment,noun,,,,,,
concede,verb,"transitive verb1: to grant as a right or privilege2 a: to accept as true, valid, or accurate <the right of the state to tax is generally conceded> b: to acknowledge grudgingly or hesitantly <conceded that it might be a good idea>intransitive verb: to make concession : yield",,,,,
concerto,noun,: a piece for one or more soloists and orchestra with three contrasting movements,,(music),,,
concession,noun,"1 a: the act or an instance of conceding b: the admitting of a point claimed in argument2: something conceded: a: acknowledgment, admission b: grant c (1): a grant of land or property especially by a government in return for services or for a particular use (2): a right to undertake and profit by a specified activity (3): a lease of a portion of premises for a particular purpose; also : the portion leased or the activities carried on",,,,,
conciliate,verb, transitive verb    1  : to gain (as goodwill) by pleasing acts   2  : to make compatible : reconcile   3  : appease   intransitive verb   : to become friendly or agreeable,,,,,
concuss,verb, : to affect with or as if with concussion  ,,,,,
condescend,verb,1 a: to descend to a less formal or dignified level : unbend b: to waive the privileges of rank2: to assume an air of superiority,,,,,
conducive,adjective,: tending to promote or assist <an atmosphere conducive to education>,,,,,
conduit,noun,"1: a natural or artificial channel through which something (as a fluid) is conveyed2archaic : fountain3: a pipe, tube, or tile for protecting electric wires or cables4: a means of transmitting or distributing <a conduit for illicit payments> <a conduit of information>",,,,,
conflagration,noun,"1: fire; especially : a large disastrous fire  2: conflict, war",,,,,
conflate,verb,1 a: to bring together : fuse b: confuse  2: to combine (as two readings of a text) into a composite whole,,,,,
confluence,,,,,,,
conjure,verb,"transitive verb1: to charge or entreat earnestly or solemnly2 a: to summon by or as if by invocation or incantation b (1): to affect or effect by or as if by magic (2): imagine, contrive —often used with up<we conjure up our own metaphors for our own needs — R. J. Kaufmann> (3): to bring to mind <words that conjure pleasant images> —often used with up<conjure up memories>intransitive verb1 a: to summon a devil or spirit by invocation or incantation b: to practice magical arts2: to use a conjurer's tricks : juggle",,,,,
connoisseur,noun,"1: expert; especially : one who understands the details, technique, or principles of an art and is competent to act as a critical judge2: one who enjoys with discrimination and appreciation of subtleties <a connoisseur of fine wines>",,,,,
consummate,adjective,  1  : complete in every detail : perfect   2  : extremely skilled and accomplished <a consummate liar> <a consummate professional>   3  : of the highest degree <consummate skill> <consummate cruelty>  ,,,,,
consummate,verb,"transitive verb1 a: finish, complete <consummate a business deal> b: to make perfect c: achieve2: to make (marital union) complete by sexual intercourse <consummate a marriage>intransitive verb: to become perfected",,,,,
contumely,,,,,,,
conviction,noun,1: the act or process of convicting of a crime especially in a court of law2 a: the act of convincing a person of error or of compelling the admission of a truth b: the state of being convinced of error or compelled to admit the truth3 a: a strong persuasion or belief b: the state of being convinced,,,,,
coprophilia,noun,: marked interest in excrement; especially : the use of feces or filth for sexual excitement,,(gross),,,
copulate,verb,: to engage in sexual intercourse,,(salacious),,,
corpulent,adjective, : having a large bulky body : obese  ,,,,,
coterie,noun,: an intimate and often exclusive group of persons with a unifying common interest or purpose,,,,,
countenance,,,,,,,
coup de grace,noun,"  1  : a deathblow or death shot administered to end the suffering of one mortally wounded   2  : a decisive finishing blow, act, or event  ",,,,,
coy,adjective,"1 a: shrinking from contact or familiarity <'tis but a kiss I beg, Why art thou coy? — Shakespeare> b: marked by cute, coquettish, or artful playfulness 2: showing reluctance to make a definite commitment <a coy response>",,,,,
crapulence,noun,   1. Sickness caused by excessive eating or drinking.     2. Excessive indulgence; intemperance.,,,,,
crass,,,,,,,
cred,noun,: credit,,(slang),,,
credence,noun,"1 a: mental acceptance as true or real <give credence to gossip> b: credibility 1 <lends credence to the theory>2: credentials —used in the phrase letters of credence3[Middle French, from Old Italian credenza] : a Renaissance sideboard used chiefly for valuable plate4: a small table where the bread and wine rest before consecration",,,,,
creed,noun,1: a brief authoritative formula of religious belief2: a set of fundamental beliefs; also : a guiding principle,,,,,
crouse,adjective,"chiefly Scottish : brisk, lively",,,,,
crude,adjective,"1: existing in a natural state and unaltered by cooking or processing <crude oil>2archaic : unripe, immature3: marked by the primitive, gross, or elemental or by uncultivated simplicity or vulgarity <a crude stereotype>4: rough or inexpert in plan or execution <a crude shelter>5: lacking a covering, glossing, or concealing element : obvious <crude facts>6: tabulated without being broken down into classes <the crude death rate>",,,,,
cudgel,noun,: a short heavy club,,,,,
cull,,,,,,,
cull,,,,,,,
culpability,noun,"1archaic : guilty, criminal2: meriting condemnation or blame especially as wrong or harmful <culpable negligence>",,,,,
cunt punt,noun,"1: derogatory name for fella who is rejected by a reputably loose woman.  2: fool who consistently fails having sexual intercourse.  3: reject, loser",,(my slang),,,
cupidity,noun,"  1  : inordinate desire for wealth : avarice, greed   2  : strong desire : lust  ",,,,,
curmudgeon,noun,"1archaic : miser2: a crusty, ill-tempered, and usually old man",,,,,
cursory,adjective,: rapidly and often superficially performed or produced : hasty <a cursory glance>,,,,,
curtail,,,,,,,
dacha,noun,: a Russian country cottage used especially in the summer,[Russian],,,,
daemon,noun,2usually daemon : an attendant power or spirit : genius3usually daemon : a supernatural being of Greek mythology intermediate between gods and men,[Latin],,,,
dandy,noun,,,,,,
dastardly,adverb,1  : cowardly   2  : characterized by underhandedness or treachery <a dastardly attack> <a dastardly villain>,,,,,
daunting,,,,,,,
de facto,adjective,1: actual; especially : being such in effect though not formally recognized <a de facto state of war>2: exercising power as if legally constituted <a de facto government>3: resulting from economic or social factors rather than from laws or actions of the state <de facto segregation>,[Latin],,,,
dearth,noun,1: scarcity that makes dear; specifically : famine2: an inadequate supply : lack <a dearth of evidence>,,,,,
debonair,,,,,,,
decadent,,,,,,,
decrepit,,,,,,,
defenestrate,verb,  1  : a throwing of a person or thing out of a window   2  : a usually swift dismissal or expulsion (as from a political party or office)  ,,(obscure),,,
deference,noun,: respect and esteem due a superior or an elder; also : affected or ingratiating regard for another's wishes,,,,,
defile,verb,": to make unclean or impure: as a: to corrupt the purity or perfection of : debase <the countryside defiled by billboards> b: to violate the chastity of : deflower c: to make physically unclean especially with something unpleasant or contaminating <boots defiled with blood> d: to violate the sanctity of : desecrate <defile a sanctuary> e: sully, dishonor ",,,,,
deft,adjective,: characterized by facility and skill,,,,,
deify,verb,1 a: to make a god of b: to take as an object of worship2: to glorify as of supreme worth,,,,,
dejection,noun,: lowness of spirits,,,,,
deliverance,,,,,,,
demogogue,noun,1: a leader who makes use of popular prejudices and false claims and promises in order to gain power    2: a leader championing the cause of the common people in ancient time,,,,,
deplore,verb,1 a: to feel or express grief for b: to regret strongly2: to consider unfortunate or deserving of deprecation <many critics deplore his methods>,,,,,
depolorable,adjective,,,,,,
depraved,,,,,,,
derelict,adjective,1: abandoned especially by the owner or occupant; also : run-down2: lacking a sense of duty : negligent,,,,,
deride,verb,1  : to laugh at contemptuously   2  : to subject to usually bitter or contemptuous ridicule,,,,,
derision,noun,1 a: the use of ridicule or scorn to show contempt b: a state of being derided2: an object of ridicule or scorn,,,,,
despondent,adjective,": feeling or showing extreme discouragement, dejection, or depression <despondent about his health>",,,,,
destitute,adjective,1: lacking something needed or desirable <a lake destitute of fish>2: lacking possessions and resources; especially : suffering extreme poverty <a destitute old man>,,,,,
desultory,adjective,"  1  : marked by lack of definite plan, regularity, or purpose <a dragged-out ordeal of…desultory shopping — Herman Wouk>   2  : not connected with the main subject   3  : disappointing in progress, performance, or quality <a desultory fifth place finish> <a desultory wine>  ",,,,,
detritus,noun,"1: loose material (as rock fragments or organic particles) that results directly from disintegration  2(a): a product of disintegration, destruction, or wearing away : debris (b): miscellaneous remnants : odds and ends <sifting through the detritus of his childhood — Michael Tomasky>",,,,,
devious,adjective,"1 a: wandering, roundabout <a devious path> b: moving without a fixed course : errant <devious breezes>2: out-of-the-way, remote3 a: deviating from a right, accepted, or common course <devious conduct> b: not straightforward : cunning <a devious politician>; also : deceptive <a devious trick>",,,,,
dexterous,adjective,  1  : mentally adroit and skillful : clever <her dexterous handling of the crisis>   2  : done with dexterity : artful <a dexterous maneuver>   3  : skillful and competent with the hands <a dexterous surgeon>  ,,,,,
dialectic,noun,": a method of argument, which has been central to both Eastern and Western philosophy since ancient times. The word ""dialectic"" originates in Ancient Greece, and was made popular by Plato's Socratic dialogues. Dialectic is rooted in the ordinary practice of a dialogue between two or more people who hold different ideas and wish to persuade each other. The presupposition of a dialectical argument is that the participants, even if they do not agree, share at least some meanings and principles of inference. Different forms of dialectical reason have emerged in the East and in the West, as well as during different eras of history (see below).",,(philosophy),,,
diaphanous,adjective,"  1  : characterized by such fineness of texture as to permit seeing through <diaphanous fabrics>   2  : characterized by extreme delicacy of form : ethereal <painted diaphanous landscapes>   3  : insubstantial, vague <had only a diaphanous hope of success>  ",,,,,
diaspora,noun,"1capitalized a: the settling of scattered colonies of Jews outside Palestine after the Babylonian exile b: the area outside Palestine settled by Jews c: the Jews living outside Palestine or modern Israel2 a: the movement, migration, or scattering of a people away from an established or ancestral homeland <the black diaspora to northern cities> b: people settled far from their ancestral homelands <African diaspora> c: the place where these people live",,,,,
diathesis,noun,: a constitutional predisposition toward a particular state or condition and especially one that is abnormal or diseased,,,,"Cited in ""diathesis alterations"" in Language Log blog",
diatribe,noun,1archaic : a prolonged discourse2: a bitter and abusive speech or writing3: ironic or satirical criticism,,,,,
dicker,,,,,,,
didactic,adjective,1 a: designed or intended to teach b: intended to convey instruction and information as well as pleasure and entertainment <didactic poetry>2: making moral observations,,,,,
diffident,adjective,"1: hesitant in acting or speaking through lack of self-confidence2archaic : distrustful3: reserved, unassertive",,,,,
digress,verb,: to turn aside especially from the main subject of attention or course of argument,,,,,
diligent,adjective,": characterized by steady, earnest, and energetic effort : painstaking <a diligent worker>",,,,,
din,noun,1: a loud continued noise; especially : a welter of discordant sounds  2: a situation or condition resembling a din,,,,,
diphthong,noun,1: a gliding monosyllabic speech sound (as the vowel combination at the end of toy) that starts at or near the articulatory position for one vowel and moves to or toward the position of another  3: the ligature æ or œ  ,,(literary),,,
diplomacy,noun,  1  : the art and practice of conducting negotiations between nations   2  : skill in handling affairs without arousing hostility : tact  ,,,,,
diplomatic,adjective,,,,,,
dirge,noun,"1: a song or hymn of grief or lamentation; especially : one intended to accompany funeral or memorial rites2: a slow, solemn, and mournful piece of music3: something (as a poem) that has the qualities of a dirge",,(music),,,
disabuse,verb,": to free from error, fallacy, or misconception",,,,"DYK: We know the verb ""abuse"" as a word meaning ""to misuse,"" ""to mistreat,"" or ""to revile.""  But when ""disabuse"" first appeared in the early 17th century, there was a sense of ""abuse,"" now obsolete, that meant ""to deceive.""  Sir Francis Bacon, for example, used that sense when he wrote in 1605, ""You are much abused if you think your virtue can withstand the King's power.""  The prefix ""dis-"" has the sense of undoing the effect of a verb, so it's not surprising that ""disabuse"" means ""to undeceive.""  English-speakers didn't come up with the idea of joining ""dis-"" to ""abuse"" all on their own, however.  The English ""disabuse"" is modeled after the French désabuser, formed by appending the prefix dés- to the verb abuser.",
disaffected,adjective, : discontented and resentful especially against authority : rebellious <disaffected youth>  ,,,,,
discombobulate,verb," : upset, confuse <inventing cool new ways to discombobulate the old order — Kurt Andersen>  ",,,,,
discombobulated,adjective,,,,,,
disconcerting,adjective,1  : to throw into confusion   2  : to disturb the composure of,,,,,
discontent,noun,: lack of contentment: a: a sense of grievance : dissatisfaction <the winter of our discontent — Shakespeare> b: restless aspiration for improvement,,,,,
discontent,adjective,,,,,,
discrete,adjective,1: constituting a separate entity : individually distinct <several discrete sections>2 a: consisting of distinct or unconnected elements : noncontinuous b: taking on or having a finite or countably infinite number of values <discrete probabilities> <a discrete random variable>,,,,,
discretion,noun,1: the quality of being discreet : circumspection; especially : cautious reserve in speech2: ability to make responsible decisions3 a: individual choice or judgment <left the decision to his discretion> b: power of free decision or latitude of choice within certain legal bounds <reached the age of discretion>4: the result of separating or distinguishing,,,,,
disdain,noun, : a feeling of contempt for someone or something regarded as unworthy or inferior : scorn  ,,,,,
disgorge,verb,transitive verb 1(a): to discharge by the throat and mouth : vomit (b): to discharge or let go of rapidly or forcefully <the train disgorged its passengers> (c): to give up on request or under pressure <refused to disgorge his ill-gotten gains>  2: to discharge the contents of (as the stomach)  intransitive verb: to discharge contents <where the river disgorges into the sea>,,,<vomit>,,
disheveled,adjective,: marked by disorder or disarray <disheveled hair>,,,,,
disparage,verb,1  : to lower in rank or reputation : degrade   2  : to depreciate by indirect means (as invidious comparison) : speak slightingly about,,,,,
disparate,adjective,1  : containing or made up of fundamentally different and often incongruous elements   2  : markedly distinct in quality or character,,,,,
disposition,noun,"1: the act or the power of disposing or the state of being disposed: as a: administration, control b: final arrangement : settlement <the disposition of the case> c (1): transfer to the care or possession of another (2): the power of such transferal d: orderly arrangement 2 a: prevailing tendency, mood, or inclination b: temperamental makeup c: the tendency of something to act in a certain manner under given circumstances",,,,,
disquieting,adjective,": to take away the peace or tranquillity of : disturb, alarm",,,,,
disrepute,adjective,: lack or decline of good reputation : a state of being held in low esteem,,,,,
dissemble,verb,"  transitive verb    1  : to hide under a false appearance   2  : to put on the appearance of : simulate   intransitive verb   : to put on a false appearance : conceal facts, intentions, or feelings under some pretense  ",,,,,
dissident,adjective,": disagreeing especially with an established religious or political system, organization, or belief",,,,,
dissident,noun,,,,,,
dissolution,noun,"1: the act or process of dissolving: as a: separation into component parts b (1): decay, disintegration (2): death c: termination or destruction by breaking down, disrupting, or dispersing <the dissolution of the republic> d: the dissolving of an assembly or organization e: liquefaction 2: a dissolute act or practice",,,,,
dissonant,adjective,  1  : marked by dissonance : discordant   2  : incongruous   3  : harmonically unresolved  ,,,,,
distill,verb,"transitive verb1: to let fall, exude, or precipitate in drops or in a wet mist2 a: to subject to or transform by distillation <distill molasses into rum> b: to obtain by or as if by distillation <distill whiskey> <able to distill humor from personal loss> c: to extract the essence of : concentrateintransitive verb1 a: to fall or materialize in drops or in a fine moisture b: to appear slowly or in small quantities at a time2 a: to undergo distillation b: to perform distillation",,,,,
dithyramb,noun,1: a usually short poem in an inspired wild irregular strain   2: a statement or writing in an exalted or enthusiastic vein  ,,(literary),,"DYK: In ancient times, the wine god Dionysus (or Bacchus) was feted several times throughout the year.  Processions, feasts, dances, and dramatic performances, accompanied by poems recited or sung in the god's honor, were all part of the revelry. Not too surprisingly, the poems tended to be wild, irregular, and dissonant. We know that the Greeks used dithyrambos as the word for a poem in honor of Dionysus, but beyond that the origin of the word is unknown. The Greeks also had the adjective dithyrambikos, which gave us our adjective ""dithyrambic,"" meaning ""pertaining to or resembling a dithyramb.""",
divination,noun,,,(spirituality),,,
divisive,adjective,,,,,,
docent,,,,,,,
Doch en Doris,noun,,[Dutch],,,,
doggerel,noun,,,(literary),,,
dogma,noun,,,,,,
dogmatic,,,,,,,
doleful,adjective,,,,,,
donker,noun,: a dumb person [see: parroni],,(my slang),,,
donnybrook,noun,,,,,,
doorknob hanging,noun,": a lingering, drawn-out goodbye",,(slang),,"discussed on Way with Words, slang Martha uses.",
dossier,noun,,,,,,
doting,,,,,,,
double-entendre,,,,,,,
dour,,,,,,,
dreg,,,,,,,
druthers,,,,,,,
duality,,,,,,,
dubious,,,,,,,
dulcet,,,,,,,
dundrearies,,,,,,,
duplicitous,,,,,,,
duress,adjective,1: forcible restraint or restriction  2: compulsion by threat ; specifically : unlawful constraint,,,,,
dyspeptic,adjective,,,,,,
earnest,adjective,,,,,,
ebullient,adjective,,,,,,
eccentric,adjective,,,,,,
ecclectic,adjective,,,,,,
edify,,,,,,,
effrontery,noun,: shameless boldness : insolence,,,<audacity>,"Effrontery implies shameless, insolent disregard of propriety or courtesy <outraged at his effrontery>",
egalitarian,,,,,,,
egregious,,,,,,,
eidetic,adjective,: marked by or involving extraordinarily accurate and vivid recall especially of visual images <an eidetic memory> ,[Greek],(psychology),,"""Eidetic"" is the techincal adjective used to describe what we more commonly call a photographic memory. The word ultimately derives from the Greek noun eidos, meaning ""form."" The ability of certain individuals to recall images, sounds, or events with uncanny accuracy is a subject of fascination for researchers in the field of psychology. Among notable people reputed to have eidetic memories is the late television comic Jackie Gleason, who reportedly was able to memorize an entire half-hour script in a single read-through.",
elan,,,,,,,
elated,,,,,,,
elegaic,adjective,,,,,,
elegy,,,,,,,
elixir,,,,,,,
emasculate,,,,,,,
emblazoned,,,,,,,
embrace,,,,,,,
emeritus,,,,,,,
eminent,,,,,,,
eminent domain,,,,,,,
empathy,,,,,,,
encroach,,,,,,,
endeavor,,,,,,,
endemic,,,,,,,
endow,,,,,,,
enervate,verb,": lacking physical, mental, or moral vigor",,,,"""Enervate"" is a word that some people use without really knowing what it means. They seem to believe that because ""enervate"" seems a little bit like ""energize"" and ""invigorate"" it must share their meaning--when it's actually their antonym. ""Enervate"" comes from the Latin enervare, which is formed from the prefix e-, meaning ""out of,"" and -nervare (from nervus, meaning ""sinew"" or ""nerve""). Etymologically, at least, someone who is enervated is ""out of nerve.""",
engage,,,,,,,
ensconce,,,,,,,
enshrine,,,,,,,
entanglement,,,,,,,
epicurean,adjective,,,,,,
epidemic,,,,,,,
epigram,noun,"1: a concise poem dealing pointedly and often satirically with a single thought or event and often ending with an ingenious turn of thought  2: a terse, sage, or witty and often paradoxical saying  3: epigrammatic expression",,(literary),,,
epigram,,,,,,,
epilogue,,,,,,,
epistle,,,,,,,
epithet,,,,,,,
epoc,,,,,,,
equanimity,,,,,,,
equivocate,,,,,,,
erode,,,,,,,
erstwhile,,,,,,,
eructation,,,,,,,
erudite,adjective,":possessing or displaying extensive knowledge acquired chiefly from books : profound, recondite, or bookish learning",,,<knowledgeable>,"DIY: ""Erudite"" derives from Latin eruditus, the past participle of erudire, meaning ""to instruct.""  A closer look at the verb shows that it was formed by combining the prefix e-, meaning ""missing"" or ""absent,"" with the adjective rudis, which means ""rude"" or ""ignorant"" and is also the source of our word ""rude.""  We typically use the word ""rude"" to mean ""discourteous"" or ""uncouth,"" but it can also mean ""lacking refinement"" or ""uncivilized.""  Someone who is erudite, therefore, has been transformed from a roughened or uninformed state to a polished and knowledgeable one through a devotion to learning.  Usage Note: erudition strongly implies the acquiring of profound, recondite, or bookish learning <an erudition unusual even in a scholar>",
eschew,,,,,,,
esoteric,,,,,,,
esteemed,,,,,,,
ether,,,,,,,
ethereal,,,,,,,
etiolate,verb,,,,,,
etiology,,,,,,,
eunuch,noun,,,(salacious),,,
euphony,,,,,,,
euphoria,,,,,,,
euphoric,,,,,,,
eventide,,,,,,,
evoke,,,,,,,
ex parte,adjective,1: on or from one side or party only —used of legal proceedings   2: from a one-sided or partisan point of view  ,[Latin],(law),,"DYK: ""Latin has not been over-used in a procedural context ('ex parte' being a rare exception),"" wrote a correspondent to the London Times in May 1999. Indeed, ""ex parte,"" which literally meant ""on behalf (of)"" in Medieval Latin, pops up quite often in legal settings. Even when the term steps outside the courtroom--to be used of an ex parte meeting, interveiw, chat, conversation, investigation, discussion, or contact, for example--the ""one-sided"" sense often has some sort of legal or legislative slant.",
execrable,,,,,,,
exigent,,,,,,,
existential,,,,,,,
existentialism,,,,,,,
exonerate,,,,,,,
expedient,,,,,,,
expedite,,,,,,,
expletive,noun,,,(literary),,,
expostulate,,,,,,,
expound,verb,transitive verb 1(a): to set forth : state (b): to defend with argument  2: to explain by setting forth in careful and often elaborate detail <expound a law>  intransitive verb: to make a statement : comment,,,<explain>,expound implies a careful often elaborate explanation <expounding a scientific theory>,
extraneous,,,,,,,
extroverted,,,,,,,
exult,,,,,,,
facile,,,,,,,
fait accompli,,,,,,,
fallout,,,,,,,
fallow,adjective,,,,,,
farrago,noun,,,,,,
fastidious,adjective,"2(a): having high and often capricious standards : difficult to please <critics…so fastidious that they can talk only to a small circle of initiates — Granville Hicks> (b): showing or demanding excessive delicacy or care (c): reflecting a meticulous, sensitive, or demanding attitude <fastidious workmanship>  3: having complex nutritional requirements <fastidious microorganisms>",,,<picky>,"Having to answer what one habit I would change about my mate, Karen said she's sometimes fastidious.",
fatwa,,,,,,,
favelos,,,,,,,
feckless,adjective,,,,,,
fecund,,,,,,,
felicity,,,,,,,
fervent,,,,,,,
fervid,,,,,,,
fervor,,,,,,,
fidelity,,,,,,,
fin de siècle,adjective,"1: of, relating to, or characteristic of the close of the 19th century and especially its literary and artistic climate of sophistication, world-weariness, and fashionable despair.   2: of or relating to the end of a century.  ",[French],,,,
fin de siècle,noun,,[French],,,,
firmament,noun,,,,,,
flagrant,,,,,,,
flapdoodle,noun,,,,,,
flatulence,,,,,,,
flinty,adjective,"1: resembling flint  ; especially : stern  , unyielding <flinty determination>",,,<stern>,,
floccinaucinihilipilification,adjective,: the act or instance of judging something to be useless of trivial,,,,One of the largest usable words in the english dictionary.,
flocculent,,,,,,,
flop sock,noun,(1) an overly pensive person (2) MMC :P,,(my slang),,,
flotsam,,,,,,,
flout,,,,,,,
fluid,,,,,,,
flummox,,,,,,,
flyblown,,,,,,,
foist,verb,1 a : to introduce or insert surreptitiously or without warrant b : to force another to accept especially by stealth or deceit   2 : to pass off as genuine or worthy <foist costly and valueless products on the public,,,,,
foment,verb,": to promote the growth or development of : rouse  , incite <foment a rebellion>",,,<incite>,Foment implies persistence in goading <fomenting rebellion>,
fop,,,,,,,
foray,,,,,,,
force majeure,noun,,[French],,,,
forebode,verb,,,,,,
forlorn,adjective,,,,,,
formication,noun,:a sensation like insects crawling over the skin.,,(obscure),,,
fornicate,verb,,,(salacious),,,
fortnight,,,,,,,
fount,,,,,,,
fraught,,,,,,,
frazzle,,,,,,,
frisson,,,,,,,
frowzy,adjective,"1: musty, stale <a frowsy smell of stale beer and stale smoke — W. S. Maugham>   2: having a slovenly or uncared-for appearance <a couple of frowsy stuffed chairs — R. M. Williams>  ",,,,,
fruition,,,,,,,
fuck buckets,,,,(my slang),,,
fugue,,,,,,,
fustian,adjective,,,,,,
gadfly,noun,"1: any of various flies (as a horsefly, botfly, or warble fly) that bite or annoy livestock   2: a person who stimulates or annoys especially by persistent criticism  ",,,<annoyance>,,
gait,noun,,,,,,
gambit,,,,,,,
garb,,,,,,,
garner,,,,,,,
garrot,,,,,,,
gastronomy,,,,,,,
gerrymander,verb,,,,,,
gerund,noun,,,(literary),,,
ginch,,,,,,,
gingerly,adverb,: very cautiously or carefully,,,,,
glib,adjective,"1(a): marked by ease and informality: nonchalant. (b): showing little forethought or preparation: offhand <glib answers> (c): lacking depth and substance: superficial <glib solutions to knotty problems> 2: archaic: smooth, slippery.  3: marked by ease and fluency in speaking or writing often to the point of being insincere or deceitful <a glib politician>",,,,,
gloaming,noun,,,,,,
gloomy,adjective,,,,,,
glower,,,,,,,
glum,adjective,,,,,,
gnomon,,,,,,,
goad,verb,1: to incite or rouse as if with a goad   2: to drive (as cattle) with a goad  ,,,<incite>,,
